	featureCounts on dataset 110 and 121: egtBmutant	featureCounts on dataset 109 and 121: egtBmutant 2	featureCounts on dataset 108 and 121: egtBmutant3	featureCounts on dataset 113 and 121: wildtype 1	featureCounts on dataset 112 and 121: wildtype 2	featureCounts on dataset 111 and 121: wildtype 3
gene-BTH_RS14940	188.942362362208	178.503794685733	207.521585949924	187.088740499927	177.499057994419	155.389413664236
gene-BTH_RS14945	176.410470981041	153.51326342973	158.15965531135	193.83936515714	194.922278411049	158.672288600805
MSTRG.2254.1	0	0	0	0	0	0
gene-BTH_RS14950	0	0	0	0	0	0
gene-BTH_RS14955	407.768465710276	323.984387354605	418.065330918537	399.251229726648	454.09268210842	435.528074918071
gene-BTH_RS14960	113.751014075207	118.705023466012	145.063632897034	120.546868878819	136.118909504922	107.240581261234
gene-BTH_RS14965	839.63672253818	857.710733464947	1022.49713465618	952.802451618183	941.942853774061	763.815568574908
gene-BTH_RS14970	380.776699658532	334.694615035749	410.006240202035	326.923108399356	299.461600910829	317.34457720161
gene-BTH_RS14975	187.978370717503	149.050668562587	142.041473878346	139.83436789943	124.140445468489	130.220705817212
gene-BTH_RS14980	361.496866764429	319.521792487462	345.53351447002	259.416861827218	246.102988384899	244.027036951582
gene-BTH_RS14985	234.24996966335	226.699819250881	242.78010783462	204.447489618477	177.499057994419	167.426621764987
gene-BTH_RS14990	1407.42780126951	1463.73111642301	1588.64825749044	1229.57806256395	1488.59639434583	1570.30851132521
gene-BTH_RS14995	240.997911176286	249.012793586597	270.986925342377	214.091239128782	228.679767968269	194.783912903057
gene-BTH_RS35180	19.2798328941029	24.9905312560026	28.2068175077567	17.3587491185499	21.7790255207875	31.734457720161
gene-BTH_RS35690	196.654295519849	201.709287994878	129.952837803593	192.87499020611	178.588009270458	178.369538220215
gene-BTH_RS15000	0	0	0	0	0	0
gene-BTH_RS15005	265.097702293914	257.045464347455	278.038629719316	230.485613296301	202.544937343324	216.669745813513
gene-BTH_RS15010	0	0	0	0	0	0
gene-BTH_RS15015	745.165541357076	729.188001291219	834.115889157948	651.917466896652	757.910088123407	721.13819439952
gene-BTH_RS15020	6114.59900236472	5278.35720885712	7119.19926168988	5329.13597939482	5898.84906230531	4983.40415371079
gene-BTH_RS15025	493.563722089033	502.488182040338	501.678397102244	454.220601935389	442.114218071987	432.245199981503
gene-BTH_RS15030	2161.26926742893	2016.20036097535	2304.89994491955	2178.52301437801	2428.36134556781	2384.46149559416
gene-BTH_RS15035	515.735529917252	485.530321545194	507.722715139621	533.299347919894	471.51590252505	492.431240485256
gene-BTH_RS15040	1112.44635798974	1067.45269222068	1127.26531397071	1133.1405674609	1229.42599064846	1203.72081007507
gene-BTH_RS15045	613.098686032471	665.819154177784	648.756802678404	603.698719345124	630.502788826799	640.160612630833
gene-BTH_RS15050	9068.26940174128	9026.93689725752	9500.6605684162	7969.59459531646	8799.81526167421	8797.01053835772
gene-BTH_RS15055	502.23964689138	526.586194322912	525.85566925175	465.793101347756	528.141368879098	586.540322000216
gene-BTH_RS15060	0	0	0	0	0	0
gene-BTH_RS15065	383.668674592647	337.372171956035	419.0727172581	419.503103698289	619.613276066406	403.79361719791
gene-BTH_RS15070	1577.09033073761	2048.33104401879	1563.46359900137	1890.17490401988	2080.98588851125	2067.11691839255
gene-BTH_RS15075	1612.7580215917	1984.96219690535	1705.50507287972	1945.14427622862	2009.11510429265	1981.76217004178
gene-BTH_RS15080	723.957725173562	778.276544829796	649.764189017967	844.792457102762	890.762143800211	811.964400977911
gene-BTH_RS15085	82.9032814446423	92.8219732365811	73.53920278808	107.045619564391	96.9166635675046	103.957706324665
gene-BTH_RS15090	267.025685583325	249.905312560026	289.119879454506	253.630612121035	265.704111353608	292.175869354585
gene-BTH_RS15095	173.518496046926	155.298301376588	182.336927460856	181.302490793743	191.65542458293	178.369538220215
gene-BTH_RS15100	437.652206696135	456.077195422048	489.589761027491	551.622471989474	520.518709946822	572.31453060842
gene-BTH_RS15105	348.964975383262	323.091868381177	359.636923223898	397.322479824586	396.378264478333	418.019408589706
gene-BTH_RS15110	549.475237481932	523.016118429198	613.498280793708	512.083098997222	533.586125259295	619.3690713659
gene-BTH_RS15115	1058.46282588625	1035.32200917725	971.120431338481	939.301202303756	1037.77056606553	1037.38847995561
gene-BTH_RS15120	9676.54812955023	8658.32656123148	10442.5667959074	8266.62208023387	9616.52871870374	9172.35257277204
gene-BTH_RS15125	2426.36696972285	2177.74629516594	2460.03744121221	2025.18739716415	2139.78925741738	2085.71987636644
gene-BTH_RS15130	1501.89898245061	1373.58670010672	1508.05735032542	1333.73055727525	1479.88478413751	1590.00576094462
gene-BTH_RS15135	481.995822352572	456.077195422048	517.796578535248	446.505602327145	496.561781873956	467.262532638232
gene-BTH_RS15140	227.502028150414	209.741958755736	216.588063005989	225.663738541149	214.523401379757	201.349662776194
gene-BTH_RS15145	1826.76416671625	1803.78084529933	2656.47777742694	2172.73676467183	2530.72276551551	2103.22854269481
gene-BTH_RS15150	882.052354905206	889.841416508379	905.640319266903	839.006207396578	901.651656560604	970.636689578716
gene-BTH_RS15155	776.01327398764	720.262811556933	793.820435575439	666.38309116211	805.823944269139	774.758485030136
gene-BTH_RS15160	268.953668872735	277.573400736315	309.267606245761	241.093737757637	328.863285363892	269.195744798607
gene-BTH_RS15165	2197.90094992773	2169.71362440508	1939.21870365827	1631.72241714369	1962.29019942296	2412.91307837776
gene-BTH_RS15170	1047.85891779449	1129.92902036069	1057.75565654088	911.334328723869	1146.66569366946	1015.50264704515
gene-BTH_RS15175	725.885708462973	622.978243453208	621.55737151021	572.838720912147	584.766835233146	642.349195921879
gene-BTH_RS15180	1829.65614165036	1640.44987316189	1947.27779437478	1542.99992164888	1733.61043145469	1374.43030677663
gene-BTH_RS15185	239.069927886875	227.59233822431	224.647153722491	195.768115059202	206.900742447482	247.309911888151
gene-BTH_RS15190	1304.28069528606	1264.69938534842	1468.76928308247	1090.70806961555	1286.0514570025	1319.71572450049
gene-BTH_RS15195	1026.65110161098	1030.85941431011	1026.52668001443	839.970582347609	1062.81644541443	1144.62906121684
gene-BTH_RS15200	1154.86199035676	1091.55070450326	994.290317148424	978.840575296008	1134.68722963303	1151.19481108998
gene-BTH_RS15205	152.310679863413	125.845175253442	146.071019236597	129.226243438094	133.941006952843	133.503580753781
gene-BTH_RS15210	112.787022430502	91.9294542631525	104.768179314525	121.511243829849	79.4934431508745	109.429164552279
gene-BTH_RS15215	334.505100712685	223.129743357166	335.459651074392	267.131861435462	263.526208801529	256.064245052333
gene-BTH_RS15220	325.829175910338	288.283628417459	327.40056035789	331.744983154509	345.197554504483	311.873118973996
gene-BTH_RS15225	576.467003533676	474.82009386405	645.734643659716	533.299347919894	598.923201821657	551.522989343487
gene-BTH_RS15235	690.218017608882	607.805420904921	718.266460108233	524.619973360619	571.699419920673	555.900155925578
gene-BTH_RS15240	4940.45717911386	4751.77101453421	5002.68056226857	3822.7823058851	4491.92401366243	5259.16564838254
gene-BTH_RS15245	4109.49638137803	4089.52193625014	4461.71409792337	3439.92545032597	3935.46991160631	3995.25879780371
gene-BTH_RS15250	217.862111703362	216.882110543166	147.07840557616	214.091239128782	164.431642681946	166.332330119464
gene-BTH_RS15255	2487.09844333927	3478.14643945151	2490.25903139909	3317.44983154509	3040.35196270194	2681.01453153084
gene-BTH_RS15260	504.16763018079	560.501915313201	552.047714080381	481.223100564244	480.227512733365	527.448573141985
gene-BTH_RS15265	1356.33624410014	1341.45601706328	1247.14428837867	848.649956906884	871.161020831502	706.912403007723
gene-BTH_RS15270	3908.98611927936	4032.40072195071	4301.5396699329	4968.45974770939	4577.95116446954	3900.05542464323
gene-BTH_RS15275	268.953668872735	278.465919709743	273.001698021502	310.528734231837	278.771526666081	277.950077962789
gene-BTH_RS15280	1858.57589099152	1650.2675818696	1849.56131943719	1584.46804454319	2096.2312063758	2160.13170826199
gene-BTH_RS15285	4951.06108720561	4383.16067850817	4452.64762086731	4841.16225417336	5740.9511272796	5123.47348433771
gene-BTH_RS15290	2824.49551898607	3011.35901634832	2202.14653828415	2960.63109966379	3585.91655199767	3465.62164137068
gene-BTH_RS31105	14.4598746705771	25.8830502294313	14.1034087538784	20.2518739716415	28.3127331770238	26.262999492547
gene-BTH_RS15300	140.742780126951	120.49006141287	140.026701199221	135.976868095308	138.296812057001	136.786455690349
gene-BTH_RS15305	227.502028150414	232.054933091453	242.78010783462	240.129362806607	224.323962864112	225.424078977695
gene-BTH_RS15310	228.466019795119	287.39110944403	241.772721495058	238.200612904546	240.658232004702	240.744162015014
gene-BTH_RS15315	217.862111703362	257.937983320884	192.410790856483	221.806238737026	157.89793502571	202.443954421716
gene-BTH_RS15320	0	0	0	0	0	0
gene-BTH_RS15325	378.848716369121	429.301626219188	381.799422694278	155.264367115919	114.339883984135	126.937830880644
gene-BTH_RS34510	5.78394986823086	6.24763281400065	10.0738633956274	10.608124461336	9.80056148435439	6.56574987313675
gene-BTH_RS15330	40.487649077616	47.3035055917192	39.2880672429468	44.3612477474053	32.6685382811813	21.8858329104558
gene-BTH_RS15335	69.4073984187703	61.5838091665779	50.369316978137	57.862497061833	44.6470023176145	51.4317073395712
gene-BTH_RS15340	116.642989009322	131.200289094014	110.812497351901	98.3662450051161	68.6039303904808	99.580539742574
gene-BTH_RS15350	630.450535637164	629.225876267209	728.340323503861	599.841219541002	698.017767941241	552.61728098901
gene-BTH_RS15355	55.9115153928983	37.4857968840039	55.4062486759507	38.574998041222	67.5149791144414	50.3374156940484
MSTRG.2335.1	133.994838614015	133.8778460143	168.233518706978	172.623116234468	147.008422265316	123.654955944075
gene-BTH_RS15360	53.983532103488	66.9389230071499	69.509657429829	71.3637463762607	42.4690997655357	60.1860405037535
gene-BTH_RS15365	163.878579599874	145.480592668872	171.255677725666	154.299992164888	129.585201848686	148.8236637911
MSTRG.2338.1	62.6594569058343	38.3783158574326	52.3840896572625	69.4349964741996	82.7602969789927	62.3746237947991
gene-BTH_RS15370	0	0	0	0	0	0
gene-BTH_RS15375	22.1718078282183	14.2803035748586	11.0812497351901	16.3943741675193	10.8895127603938	16.4143746828419
gene-BTH_RS15380	0	0	0	0	0	0
gene-BTH_RS15385	28.9197493411543	33.9157209902893	13.0960224143156	22.1806238737026	14.1563665885119	25.1687078470242
gene-BTH_RS15390	300.765393148005	230.269895144596	235.728403457681	290.276860260195	252.636696041136	257.158536697856
gene-BTH_RS15395	401.02052419734	384.675677547755	425.117035295476	399.251229726648	409.445679790806	383.002075932977
MSTRG.2343.1	37.5956741435006	18.742898442002	57.4210213550762	33.7531232860692	45.7359535936538	31.734457720161
gene-BTH_RS15400	0	0	0	0	0	0
gene-BTH_RS33635	0	0	0	0	0	0
gene-BTH_RS15410	294.981443279774	264.185616134885	266.957379984126	295.098735015348	291.838941978553	286.704411126971
gene-BTH_RS15415	485.851788931392	568.53458607406	572.195440871636	714.601838713637	693.661962837083	659.857862250243
gene-BTH_RS15420	0	0	0	0	0	0
gene-BTH_RS15425	308.477326305646	426.624069298902	383.814195373404	513.047473948252	466.071146144853	457.413907828527
gene-BTH_RS34800	102.183114338745	156.190820350016	99.7312476167112	254.594987072065	227.59081669223	153.200830373191
gene-BTH_RS15440	76.1553399317063	89.2518973428665	74.5465891276427	185.159990597866	139.38576333304	115.994914425416
gene-BTH_RS31130	0	0	0	0	0	0
rna-BTH_RS15455	85.7952563787577	171.363642898304	87.6426115419583	53.0406223066802	89.2940046352289	70.0346653134587
gene-BTH_RS15460	64.5874401952446	106.209757838011	57.4210213550762	98.3662450051161	77.3155405987958	82.0718734142094
gene-BTH_RS15465	150.382696574002	107.10227681144	101.746020295837	129.226243438094	104.53932249978	119.277789361984
gene-BTH_RS15470	426.084306959673	360.577665265181	392.880672429468	422.396228551381	435.580510415751	388.473534160591
gene-BTH_RS15475	3742.21556474537	3711.98641048982	4078.90728888953	3391.70670277444	3581.56074689351	3416.37851732215
gene-BTH_RS15480	0	0	0	0	0	0
gene-BTH_RS15485	2991.26607352006	3504.02948968094	2799.52663764485	2569.09486954538	2902.05515064494	2548.60524242258
