geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust	
gene-J2S48_RS08615	60.55713558	1.5375514	0.553615326	2.777291971	0.005481392	0.015964344	
gene-J2S48_RS15760	1478.982267	1.538158025	0.334073652	4.604248246	4.14E-06	2.71E-05	
gene-J2S48_RS01250	670.0989244	1.544453175	0.296690835	5.205597856	1.93E-07	1.68E-06	
MSTRG.161.1	5347.962973	1.5528635	0.346239373	4.484941985	7.29E-06	4.47E-05	
MSTRG.2700.1	2749.08164	1.554516522	0.255651219	6.080614553	1.20E-09	1.45E-08	
gene-J2S48_RS19480	69.0438426	1.56223878	0.654698209	2.386196812	0.017023638	0.042084547	
gene-J2S48_RS13600	338.7495938	1.568907556	0.330501089	4.747057141	2.06E-06	1.43E-05	
gene-J2S48_RS05310	6955.006622	1.572219553	0.461481262	3.406897922	0.000657057	0.002524893	
gene-J2S48_RS14280	291.0159949	1.572514362	0.453806189	3.465167287	0.000529902	0.002099826	
gene-J2S48_RS26465	71.63821823	1.575841796	0.563807598	2.79499922	0.005189984	0.015355164	
gene-J2S48_RS13730	412.0750029	1.578008648	0.471344962	3.347884832	0.000814308	0.003067228	
gene-J2S48_RS22575	51.22929911	1.578581134	0.654304177	2.41261051	0.015838735	0.039442394	
gene-J2S48_RS00110	52.92829218	1.582294538	0.625261808	2.530611208	0.011386398	0.02998989	
gene-J2S48_RS11890	181.6119588	1.584210323	0.493935575	3.207321773	0.00133977	0.004665225	
MSTRG.1295.1	7834.032776	1.588333135	0.271740402	5.845038586	5.06E-09	5.78E-08	
gene-J2S48_RS18940	63.20286481	1.591736476	0.535839536	2.970546907	0.0029727	0.009423863	
gene-J2S48_RS21985	156.9148625	1.592018784	0.527414173	3.01853622	0.00253999	0.00820054	
gene-J2S48_RS24840	231.5109695	1.5935293	0.334330018	4.7663363	1.88E-06	1.32E-05	
gene-J2S48_RS13850	384.1427402	1.593596661	0.353239075	4.511382728	6.44E-06	4.04E-05	
gene-J2S48_RS00590	1366.29356	1.596141636	0.282129935	5.657469963	1.54E-08	1.61E-07	
gene-J2S48_RS20450	150.6457242	1.603489147	0.448854811	3.572400493	0.000353724	0.001482171	
MSTRG.155.1	209.4097499	1.605577983	0.461883047	3.476156988	0.000508654	0.002029404	
MSTRG.33.1	642.8670298	1.60559431	0.351059822	4.573563283	4.79E-06	3.09E-05	
gene-J2S48_RS05705	629.839256	1.607153709	0.35261223	4.557850163	5.17E-06	3.30E-05	
gene-J2S48_RS19770	516.1186489	1.608782093	0.321114916	5.009988684	5.44E-07	4.25E-06	
MSTRG.1105.1	3255.19967	1.60948366	0.312747433	5.14627297	2.66E-07	2.24E-06	
gene-J2S48_RS14465	96.47319009	1.610971917	0.527958775	3.051321418	0.002278365	0.007445069	
