geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust
MSTRG.12.1	265.20682037427	-3.49528618057677	0.446100015749884	-7.83520748077372	4.68069141039243e-15	1.21455274152627e-13
gene-J2S48_RS09620	379.028086349121	2.82539707623742	0.361160620230841	7.82310395422274	5.15365116140872e-15	1.32744411900108e-13
gene-J2S48_RS02795	3217.15868566026	-2.87535135512502	0.368874505736669	-7.7949310955571	6.44436346573022e-15	1.64778140295277e-13
gene-J2S48_RS18085	12783.3081572527	-2.26054254286061	0.290378798342941	-7.78480576323236	6.98203902933937e-15	1.77232483476636e-13
gene-J2S48_RS02340	1271.19779051684	4.46419996650051	0.575215729005078	7.76091428205904	8.43192942822442e-15	2.12496753863814e-13
gene-J2S48_RS08750	1045.86274363787	-3.47637572044114	0.448525043538475	-7.75068364748497	9.13991294617611e-15	2.28693678931821e-13
gene-J2S48_RS02205	438.867782649176	-2.90675125656087	0.375511616218909	-7.74077586688116	9.88119557420643e-15	2.44402069939734e-13
MSTRG.2107.1	729.530155621028	3.18036318021143	0.410923586645586	7.73954886886168	9.97701855591834e-15	2.44402069939734e-13
rna-J2S48_RS24235	65.343792066083	6.10828460292876	0.789140168819102	7.74043046379126	9.90807801960316e-15	2.44402069939734e-13
MSTRG.625.1	14858.0216490813	2.69776548209502	0.348694240431107	7.73676524957694	1.01978100293617e-14	2.48075892589265e-13
rna-J2S48_RS15085	591.282453447995	2.95994353340199	0.382956033620743	7.72919936896291	1.08225067774318e-14	2.61456836147197e-13
gene-J2S48_RS17320	1612.51026229924	-3.55003031312476	0.459435242984522	-7.72694382360292	1.10159229071051e-14	2.64306698243761e-13
gene-J2S48_RS00495	1510.77392732728	3.4107782936806	0.441846733544466	7.71936971519413	1.16906346973787e-14	2.78587029557263e-13
gene-J2S48_RS13070	423.94095699675	2.59230514979161	0.335968356848069	7.71592055308917	1.20112116009249e-14	2.8429239350027e-13
gene-J2S48_RS07795	1037.06959527321	2.8570740102353	0.370677494223926	7.70770833070685	1.28097091754673e-14	3.01157122427261e-13
gene-J2S48_RS15265	98.5009749196019	-5.70017061950997	0.74010250968389	-7.70186635624923	1.34093092336493e-14	3.13152068303157e-13
gene-J2S48_RS04415	9334.57243557399	-1.93742986729572	0.25174755061353	-7.69592340650004	1.40475944298376e-14	3.25885584686895e-13
MSTRG.1727.1	6158.79205634699	-4.39737212857087	0.571491753898824	-7.69455044376613	1.41992519667255e-14	3.27236708154206e-13
gene-J2S48_RS10180	295.637850751137	-4.01014339064463	0.5254599182287	-7.63168274406663	2.31709088050889e-14	5.30507800942656e-13
gene-J2S48_RS25370	2102.92631511563	-2.83033269463974	0.370953087557536	-7.62989388570799	2.3494702039736e-14	5.34428189903866e-13
gene-J2S48_RS17260	780.813482863705	3.35544351534898	0.439879337253949	7.62809987006013	2.38238977762782e-14	5.38420089743887e-13
gene-J2S48_RS10260	401.418617795754	-2.96398263049637	0.390019578576856	-7.59957395295811	2.9710725884187e-14	6.6715815879684e-13
gene-J2S48_RS00840	271.079473368789	-4.19774324759836	0.553363673194714	-7.58586703634463	3.30270981746821e-14	7.36903980292429e-13
gene-J2S48_RS16890	457.267054297147	2.45776798532912	0.325570573532849	7.5491097326741	4.38243522913701e-14	9.71624722004237e-13
gene-J2S48_RS25005	916.072689157588	3.23784083147145	0.429186599034714	7.54413310842811	4.55305918629513e-14	1.00310480060326e-12
gene-J2S48_RS13810	337.971586032444	-2.94696653980961	0.394487282307262	-7.47037147198639	7.9968746094909e-14	1.75081573481541e-12
MSTRG.2121.1	314.043730867512	3.60765333665333	0.483904390511859	7.45530193027855	8.96622601933252e-14	1.95085029476533e-12
gene-J2S48_RS07855	304.260212198129	3.17967747263723	0.427013015034997	7.44632449288843	9.59765705166846e-14	2.07534522543177e-12
rna-J2S48_RS24160	573.539973123146	2.99297391453581	0.402791502218762	7.43057859475465	1.08123666999382e-13	2.32366383741616e-12
gene-J2S48_RS13390	6693.60651051384	-2.53123390134784	0.340877949612679	-7.42563109237175	1.1224343608462e-13	2.39749241831966e-12
gene-J2S48_RS01380	1705.40879930593	-2.5084551416765	0.339444991444304	-7.38987230597594	1.46969888338118e-13	3.10141878824355e-12
rna-J2S48_RS15560	341.002084788851	4.67013976135689	0.631937629651134	7.39019096542024	1.46618086111457e-13	3.10141878824355e-12
gene-J2S48_RS01390	857.34975439588	-2.8904400627351	0.391651278614705	-7.38013692425253	1.58126825223247e-13	3.31687586082056e-12
gene-J2S48_RS08560	2291.03020199575	3.16617369728802	0.430028041169988	7.36271450734639	1.80207514050933e-13	3.75754120071678e-12
gene-J2S48_RS18880	3526.85475835667	2.43446347518884	0.330866452648545	7.3578431893027	1.86905417243233e-13	3.87414009824287e-12
gene-J2S48_RS07565	1037.01592613203	-2.51622861095181	0.342916615178236	-7.33772730622563	2.1725123469531e-13	4.4504741236121e-12
gene-J2S48_RS07815	193.00068000047	3.01649919938541	0.411070861354804	7.33814892508716	2.16568119166519e-13	4.4504741236121e-12
gene-J2S48_RS04985	1126.74190630897	-2.30752387235274	0.314575608521991	-7.33535534809727	2.21133965231726e-13	4.50367604771359e-12
